GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
 GDS1204,939,18,1,1
 GDS1210,548,30,1,0.363636364
 GDS1263,863,16,1,0.6
 GDS1326,939,12,1,1
 GDS1390,939,20,1,1
 GDS1424,708,22,1,1
 GDS1439,940,19,1,0.857142857
 GDS1479,939,60,1,0.333333333
 GDS1627,877,83,1,0.952380952
 GDS1688,939,29,1,0.9
 GDS1732,940,14,1,1
 GDS1746,939,30,1,0.363636364
 GDS1761,413,64,1,0.333333333
 GDS1887,813,46,1,0.314285714
 GDS2250,940,47,1,0.1
 GDS2297,939,45,1,0.323529412
 GDS2298,279,18,1,0.636363636
 GDS232,218,23,1,0.769230769
 GDS2367,939,17,1,0.833333333
 GDS2384,517,52,1,0.1875
 GDS2526,940,18,1,1
 GDS2545,813,171,1,0.276923077
 GDS2546,263,167,1,0.257575758
 GDS2547,216,164,1,0.265625
 GDS2609,940,22,1,0.833333333
 GDS2626,939,57,1,0.071428571
 GDS2770,939,12,1,1
 GDS2771,939,192,1,0.051546392
 GDS2785,813,43,1,0.791666667
 GDS2918,371,20,1,0.666666667
 GDS2971,893,12,1,1
 GDS3017,884,156,1,0.95
 GDS3096,939,47,1,0.382352941
 GDS3097,939,48,1,0.371428571
 GDS3116,939,116,1,1
 GDS3139,939,29,1,0.933333333
 GDS3179,949,12,1,1
 GDS3217,940,18,1,1
 GDS3233,939,61,1,0.321428571
 GDS3289,709,104,1,0.130434783
 GDS3324,939,66,1,0.178571429
 GDS3388,940,24,1,1
 GDS3482,940,18,1,0.25
 GDS3501,940,18,1,0.8
 GDS3592,940,24,1,1
 GDS360,813,24,1,0.714285714
 GDS3603,813,79,1,0.6
 GDS3627,940,58,1,0.45
 GDS3638,939,16,1,0.6
 GDS3716,939,42,1,0.333333333
 GDS3721,940,28,1,0.4
 GDS3756,921,42,1,0.909090909
 GDS3792,940,12,1,1
 GDS3836,940,22,1,0.428571429
 GDS3837,940,120,1,1
 GDS3861,940,12,1,1
 GDS3872,928,15,1,0.875
 GDS3945,928,42,1,1
 GDS3952,940,162,1,0.117647059
 GDS3966,939,83,1,0.596153846
 GDS4051,940,24,1,1
 GDS4053,940,43,1,0.482758621
 GDS4056,939,61,1,0.025
 GDS4057,939,103,1,0.058823529
 GDS4063,939,17,1,0.888888889
 GDS4066,940,15,1,0.875
 GDS4088,939,86,1,0.75
 GDS4090,957,21,1,0.75
 GDS4092,940,12,1,1
 GDS4093,940,22,1,1
 GDS4095,940,14,1,0.75
 GDS4100,940,24,1,1
 GDS4109,939,79,1,0.975
 GDS4114,940,24,1,1
 GDS4158,940,16,1,0.666666667
 GDS4198,940,70,1,0.517241379
 GDS4345,940,30,1,0.5
 GDS4381,940,64,1,0.72972973
 GDS4382,940,34,1,1
 GDS4386,940,12,1,1
 GDS4393,940,54,1,0.636363636
 GDS4395,940,80,1,0.333333333
 GDS4396,940,29,1,0.260869565
 GDS4454,940,24,1,1
 GDS4456,940,93,1,0.119047619
 GDS4487,928,30,1,0.666666667
 GDS4513,940,53,1,0.325
 GDS4515,939,49,1,0.441176471
 GDS4516,940,104,1,0.272727273
 GDS4589,940,103,1,0.131868132
 GDS4664,940,39,1,0.95
 GDS470,352,32,1,0.454545455
 GDS4718,940,44,1,0.25
 GDS4761,943,91,1,0.076923077
 GDS4762,928,80,1,0.260869565
 GDS4764,922,36,1,1
 GDS4766,940,33,1,0.65
 GDS4794,940,65,1,0.547619048
 GDS4814,948,23,1,0.833333333
 GDS4824,940,21,1,0.615384615
 GDS4853,928,20,1,1
 GDS4882,940,26,1,0.6
 GDS4950,940,28,1,0.75
 GDS4952,940,24,1,1
 GDS4957,948,12,1,1
 GDS4964,940,16,1,1
 GDS5023,928,12,1,1
 GDS5027,940,156,1,0.368421053
 GDS5232,921,50,1,0.851851852
 GDS5267,940,45,1,0.1
 GDS5268,940,74,1,0.08
 GDS5287,928,24,1,1
 GDS534,939,75,1,0.529411765
 GDS535,813,14,1,1
 GDS5621,948,12,1,1
 GDS5800,948,12,1,1
 GDS5801,948,12,1,1
 GDS6100,948,12,1,1
 GDS806,827,60,1,0.875
 GDS807,827,60,1,0.875
 GDS845,877,18,1,1
 GDS846,877,19,1,0.857142857
 GDS847,877,19,1,0.857142857
 GDS848,877,19,1,0.857142857
 GDS901,939,12,1,1
GSE100480,978,55,2,0.615384615
GSE100549,978,15,1,0.875
GSE100550,978,106,1,0.444444444
GSE10089,978,23,1,0.4
GSE101896,978,90,1,0.5
GSE101929,978,66,3,0.941176471
GSE10245,978,58,1,0.45
GSE102484,978,683,2,0.514412417
GSE10270,978,24,1,1
GSE102907,978,61,1,0.90625
GSE103091,978,238,2,0.816793893
GSE103340,978,71,1,0.230769231
GSE103512,978,280,1,0.893333333
GSE103668,978,21,1,0.5
GSE103865,978,14,1,1
GSE103888,978,19,1,0.545454545
GSE104419,978,12,1,1
GSE105437,978,22,1,0.5
GSE106191,978,97,1,0.777777778
GSE10797,978,66,1,0.178571429
GSE10810,890,58,4,0.148148148
GSE108345,929,18,2,1
GSE10961,978,18,1,0.8
GSE11001,978,30,5,0.166666667
GSE110223,978,26,2,1
GSE110224,978,34,2,1
GSE11121,978,200,1,0.213235294
GSE112790,978,198,1,0.081967213
GSE11352,978,18,1,1
GSE114168,978,53,1,0.558823529
GSE114761,978,42,1,1
GSE115810,978,27,1,0.545454545
GSE119409,978,66,1,0.243902439
GSE122306,978,12,1,1
GSE12276,978,204,1,0.047337278
GSE124069,978,30,3,0.5
GSE124647,978,140,5,0.75
GSE125915,978,134,1,0.072
GSE125989,978,32,3,1
GSE127760,978,36,1,1
GSE12777,978,51,2,0.5
GSE12790,978,98,1,0.5
GSE12791,978,16,1,1
GSE12945,978,62,3,1
GSE129551,978,147,1,0.053333333
GSE129560,978,128,2,1
GSE130402,978,45,2,1
GSE131027,978,92,2,0.87755102
GSE13309,978,24,2,1
GSE13525,978,12,1,1
GSE13548,978,42,1,0.3
GSE135565,978,84,1,0.1
GSE13787,976,23,1,0.916666667
GSE14017,978,29,1,0.666666667
GSE14018,978,36,1,0.3125
GSE140494,978,91,4,0.516666667
GSE14245,978,24,1,1
GSE143985,978,91,3,0.654545455
GSE14407,978,24,1,1
GSE146558,978,109,6,0.73015873
GSE14764,978,80,3,0.52
GSE14814,978,133,3,0.253012048
GSE14986,978,30,2,0.375
GSE14990,978,15,1,0.666666667
GSE15026,978,30,1,0.578947368
GSE153796,978,29,1,0.125
GSE15548,978,29,2,0.75
GSE15578,978,17,1,0.571428571
GSE15641,978,92,1,0.1875
GSE157009,978,249,2,0.230769231
GSE157010,978,235,1,0.974789916
GSE157011,978,484,1,0.833333333
GSE158309,978,461,3,0.401215805
GSE15852,978,86,2,1
GSE15932,978,32,1,0.125
GSE15960,978,18,1,1
GSE161158,978,250,1,0.402439024
GSE16157,978,38,1,0.833333333
GSE16391,978,55,3,0.571428571
GSE163950,606,24,2,1
GSE164191,978,121,1,0.951612903
GSE16648,978,42,1,1
GSE16795,978,39,1,0.619047619
GSE16873,978,40,1,1
GSE17025,978,103,1,0.012658228
GSE17347,978,12,1,1
GSE17356,926,27,3,0.928571429
GSE17482,978,18,1,1
GSE17536,978,177,4,0.450819672
GSE17537,978,55,3,0.527777778
GSE17906,978,25,1,0.1
GSE17951,978,154,1,0.119266055
GSE18088,978,53,2,0.558823529
GSE18105,978,111,1,0.268656716
GSE18521,978,75,1,0.113207547
GSE18560,978,12,1,1
GSE18670,452,24,4,1
GSE18842,978,91,1,0.97826087
GSE18864,978,84,1,0.172413793
GSE19027,978,60,2,0.3
GSE19352,978,28,1,0.1
GSE19639,978,24,2,1
GSE19650,978,22,1,0.428571429
GSE19697,978,24,1,0.333333333
GSE19713,978,12,1,1
GSE19722,978,64,1,0.034482759
GSE19804,978,120,1,1
GSE19826,978,27,1,1
GSE20194,978,278,2,0.695121951
GSE20266,978,20,1,1
GSE20271,978,178,6,0.816326531
GSE2034,978,286,1,0.31797235
GSE20437,978,42,2,0.75
GSE20685,978,327,1,0.365591398
GSE20854,978,24,1,1
GSE21293,978,35,1,0.52173913
GSE21510,978,148,1,0.287234043
GSE21653,978,266,1,0.36
GSE21947,978,30,3,0.5
GSE22035,978,43,1,0.482758621
GSE22093,978,103,2,0.146341463
GSE22250,978,18,1,0.285714286
GSE22513,978,28,1,0.4
GSE22533,978,12,2,1
GSE22593,978,24,1,1
GSE22597,978,82,3,0.438596491
GSE22598,978,38,2,0.3
GSE22600,978,15,1,0.875
GSE22606,978,12,1,1
GSE22865,978,12,1,1
GSE22973,978,12,1,1
GSE23177,898,116,1,0.966101695
GSE23553,978,56,3,0.5
GSE23554,978,28,2,1
GSE23593,978,50,2,0.388888889
GSE23640,978,14,2,1
GSE23878,978,59,1,0.685714286
GSE23926,978,12,2,1
GSE23988,978,61,3,0.15625
GSE24185,978,103,5,0.763157895
GSE2443,978,20,1,1
GSE24468,978,20,1,1
GSE24514,978,49,1,0.441176471
GSE24717,978,22,1,0.571428571
GSE24795,978,30,1,0.875
GSE25011,978,86,1,0.523809524
GSE25055,978,310,9,0.202614379
GSE25065,978,198,12,0.10989011
GSE25066,978,508,7,0.168032787
GSE25136,978,79,1,0.975
GSE25428,978,95,1,0.022727273
GSE25458,978,12,2,1
GSE25487,978,21,1,0.2
GSE26027,978,12,1,1
GSE26309,978,12,1,1
GSE26511,978,39,2,0.95
GSE26712,978,195,1,0.947368421
GSE26834,978,17,1,0.888888889
GSE26910,978,24,1,1
GSE27020,978,109,2,0.453333333
GSE27120,978,79,1,0.107142857
GSE27262,978,50,2,0.24
GSE27431,978,30,1,0.4
GSE27489,978,30,2,1
GSE27562,978,162,1,0.263157895
GSE27651,978,49,1,0.272727273
GSE27830,978,155,1,0.078947368
GSE27854,978,115,1,0.226666667
GSE27914,978,31,1,0.666666667
GSE28571,978,100,1,0.307692308
GSE28583,978,20,1,1
GSE28645,978,14,1,0.75
GSE28691,978,42,1,0.1
GSE28694,978,13,1,0.857142857
GSE28702,978,83,3,0.482142857
GSE28826,978,28,1,1
GSE28844,978,61,2,0.90625
GSE29013,978,55,4,0.833333333
GSE29077,978,28,3,1
GSE29175,978,38,1,0.52
GSE29220,978,22,1,0.090909091
GSE29272,978,268,2,1
GSE29330,978,18,1,0.5
GSE29431,978,66,2,0.461538462
GSE29437,978,14,1,0.75
GSE29561,978,22,3,0.833333333
GSE29621,978,65,5,0.21875
GSE29721,978,20,2,1
GSE2990,978,189,5,0.512
GSE30174,978,80,1,1
GSE30219,978,307,1,0.091463415
GSE30292,978,43,1,0.272727273
GSE30494,978,12,1,1
GSE31189,978,92,1,0.769230769
GSE31192,978,33,1,0.166666667
GSE31448,978,357,1,0.365853659
GSE31519,978,67,3,0.477272727
GSE31546,978,17,5,0.888888889
GSE31547,978,50,3,0.388888889
GSE31595,978,37,2,0.608695652
GSE31625,978,48,1,0.655172414
GSE3167,978,60,1,0.111111111
GSE31684,978,93,2,0.710526316
GSE3202,978,23,2,0.352941176
GSE32072,978,50,3,0.785714286
GSE32175,978,20,1,1
GSE32269,906,55,2,0.137931034
GSE32323,978,44,1,0.3
GSE32474,978,174,1,0.471698113
GSE32496,978,18,2,1
GSE32518,978,74,10,1
GSE32526,978,12,2,1
GSE32646,978,115,4,0.61971831
GSE32676,978,32,1,0.117647059
GSE32701,978,40,1,1
GSE32967,978,22,1,0.555555556
GSE33112,978,12,1,1
GSE33116,978,203,1,0.118181818
GSE33455,978,12,2,1
GSE33532,951,100,2,0.4
GSE33658,978,22,2,0.833333333
GSE33874,978,20,1,1
GSE34042,978,12,1,1
GSE34111,978,30,2,0.5
GSE34112,978,16,1,1
GSE34405,978,15,2,0.5
GSE35006,978,18,4,0.5
GSE35144,978,64,1,0.72972973
GSE35428,978,106,2,1
GSE35452,978,46,1,0.916666667
GSE35570,978,116,2,0.62745098
