accession,summary,title,gpl,ftplink,,,,,Cancer Type,,GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
GDS1204,"Expression profiling of lung cancer cell line A549 following treatment with 50 uM of the metal cation-containing chemotherapeutic drug motexafin gadolinium (MGd). Cells examined at 4, 12, and 24 hours following treatment. Results provide insight into the mechanism of action of MGd.    ",Lung cancer cell line response to motexafin gadolinium: time course,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1204/,,,,,Lung Cancer ,, GDS1204,939,18,1,1
GDS1210,Expression profiling of 22 primary advanced gastric cancer tissues. Whole gastric cancer tissues examined in the presence of metastasis and according to histological type. Results provide insight into the progression and diversity of gastric cancer.,Gastric cancer,80,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1210/,,,,,Gastric Cancer,, GDS1210,548,30,1,0.363636364
GDS1263,Expression profiling of previously resected frozen primary tumors from patients with Dukes' stage B colon cancer that recurred in 5 years. Results identify potential prognostic markers for tumor relapse. ,Dukes B colon cancer recurrence,2006,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1263/,,,,,Colon Cancer,, GDS1263,863,16,1,0.6
GDS1326,Analysis of the response of estrogen receptor (ER) negative MDA-MB-231 breast cancer cells infected with full-length ER alpha adenoviral constructs to treatment with 17beta-estradiol (E2). Results provide insight into the anti-proliferative effect of E2 on breast cancer cells reexpressing ER.,Breast cancer cells reexpressing estrogen receptor alpha response to 17beta-estradiol,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1326/,,,,,Breast Cancer,, GDS1326,939,12,1,1
GDS1390,Analysis of prostate cancer progression following androgen ablation treatment. 10 treated androgen-independent primary prostate tumors compared to 10 untreated androgen-dependent primary  prostate tumors. Results provide insight into progression of prostate cancer to aggressive androgen-independent ,Prostate cancer progression after androgen ablation,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1390/,,,,,Prostate Cancer,, GDS1390,939,20,1,1
GDS1424,Analysis of HT-29 colon cancer cells cultured in pteroylglutamic acid or methyl-tetrahydrofolate at concentrations of 10 or 100 ng/ml each. Studies suggest that folate deficiency can have an inhibitory effect on the progression of established colonic tumor cells.,Folic acid deficiency effect on colon cancer cells,2721,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1424/,,,,,Colon Cancer,, GDS1424,708,22,1,1
GDS1439,"Expression profiling of prostate cancer tumors that are benign, clinically localized, or metastatic and refractory to hormones. Results compared to those obtained from immunoblotting to identify concordant changes in mRNA and protein levels.",Prostate cancer progression,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1439/,,,,,Prostate Cancer,, GDS1439,940,19,1,0.857142857
GDS1479,Analysis of bladder biopsies of superficial transitional cell carcinomas with or without surrounding carcinoma in situ (CIS) lesions and muscle invasive carcinomas (mTCC). CIS is a common mTCC precursor. Results provide insight into which tumors in early stage bladder cancer are likely to progress.,Carcinoma in situ lesions of the urinary bladder,96,https://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS1479,,,,,Bladder Cancer,, GDS1479,939,60,1,0.333333333
GDS1627,"Analysis of 4 breast cell lines treated for up to 36 hrs with the chemotherapeutic agents 5-fluorouracil (5FU), doxorubicin (DOX), or etoposide (ETOP), a drug mechanistically similar to DOX. Expression profiles for DOX- and 5FU-treated cells were used to successfully predict the response to ETOP. ",Breast cancer cell lines response to chemotherapeutic drugs: time course,550,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1627/,,,,,Breast Cancer,, GDS1627,877,83,1,0.952380952
GDS1688,"Expression profiling of a set of 29 lung cancer cell lines consisting of 10 non-small cell adenocarcinoma, 10 small cell cancer, and 9 squamous cell cancer lines.  Gene expression results analyzed in relation to the sensitivity of each cell line to commonly used anti-cancer agents.",Various lung cancer cell lines,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1688/,,,,,Lung Cancer ,, GDS1688,939,29,1,0.9
